chain,sample,tissue,histological site, lengthMean, nReads_covering_median
IGH,G62238.GTEX-13PVQ-3026.2,Brain - Cortex,Brain,17.8333333333,1.0
IGH,G61177.GTEX-YB5E-0326.3,Liver,Liver,15.25,1.0
IGH,G64039.GTEX-14BIM-2726.1,Heart - Atrial Appendage,Heart,15.6666666667,1.0
IGH,G16549.GTEX-OXRK-0626.2,Thyroid,Thyroid,15.6762589928,1.0
IGH,G32751.GTEX-RTLS-2626-SM-46MUJ.2,Stomach,Stomach,15.4318756776,1.0
IGH,G65081.GTEX-ZF2S-1526.2,Adipose - Visceral (Omentum),Adipose Tissue,17.75,1.5
IGH,G39683.GTEX-UJMC-0008-SM-4IHKK.2,Cells - Transformed fibroblasts,Skin,nan,nan
IGH,G25101.GTEX-N7MS-1225-SM-3LK5G.1,Esophagus - Mucosa,Esophagus,16.3333333333,1.0
IGH,G65114.GTEX-147GR-3026.2,Brain - Cortex,Brain,15.6666666667,2.0
IGH,G63118.GTEX-144GL-0011-R4a.2,Brain - Amygdala,Brain,nan,nan
IGH,G19449.GTEX-OIZI-0426-SM-2XCEF.2,Nerve - Tibial,Nerve,15.8333333333,1.0
IGH,G61951.GTEX-12WSN-2726.2,Artery - Tibial,Blood Vessel,18.0,1.0
IGH,G48844.GTEX-TMMY-0926.1,Lung,Lung,15.5740223464,1.0
IGH,G61954.GTEX-1314G-0126.2,Heart - Left Ventricle,Heart,16.0833333333,1.0
IGH,G64015.GTEX-14AS3-1526.1,Skin - Not Sun Exposed (Suprapubic),Skin,17.0,1.0
IGH,G33800.GTEX-PX3G-2526-SM-48TZV.3,Vagina,Vagina,15.2775119617,1.0
IGH,G34265.GTEX-XBEC-1326-SM-4AT69.2,Heart - Left Ventricle,Heart,15.3333333333,1.0
IGH,G16821.GTEX-NL4W-0011-R2a.3,Brain - Substantia nigra,Brain,15.3333333333,1.0
IGH,G41594.GTEX-WYJK-1826.1,Testis,Testis,20.0,1.0
IGH,G18457.GTEX-P4QT-1826-SM-2S1NJ.1,Artery - Tibial,Blood Vessel,15.625,1.0
IGH,G62163.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,12.0,1.0
IGH,G40978.GTEX-WFG7-1626-SM-4LVMF.3,Colon - Sigmoid,Colon,15.6666666667,1.0
IGH,G35603.GTEX-X5EB-2026-SM-4E3KA.4,Testis,Testis,18.3333333333,1.0
IGH,G33864.GTEX-P4QS-0926-SM-48TBS.1,Spleen,Spleen,15.7002328289,1.0
IGH,G26617.GTEX-V1D1-2226-SM-3NMAX.1,Skin - Sun Exposed (Lower leg),Skin,17.3,1.0
IGH,G62689.GTEX-145ME-0926.2,Small Intestine - Terminal Ileum,Small Intestine,15.4487007168,1.0
IGH,G21107.GTEX-PX3G-0006-SM-33HBQ.1,Whole Blood,Blood,15.2542955326,1.0
IGH,G25708.GTEX-OHPK-2526-SM-3MJH9.1,Vagina,Vagina,15.7190332326,1.0
IGH,G29340.GTEX-WL46-0426-SM-3TW8J.1,Nerve - Tibial,Nerve,16.6,2.0
IGH,G33651.GTEX-REY6-0126-SM-48FDT.4,Testis,Testis,15.5,1.0
IGH,G65696.GTEX-147JS-0126.2,Testis,Testis,16.5,1.0
IGH,G62213.GTEX-1477Z-2826.2,Pituitary,Pituitary,15.25,1.0
IGH,G48606.GTEX-ZDTS-0001.1,Cells - EBV-transformed lymphocytes,Blood,16.0,1.0
IGH,G40904.GTEX-WFG7-1226-SM-4LMK2.3,Esophagus - Gastroesophageal Junction,Esophagus,11.5,1.0
IGH,G62694.GTEX-144GM-1726.2,Stomach,Stomach,15.5227817746,1.0
IGH,G33847.GTEX-QCQG-0526-SM-48U2A.3,Stomach,Stomach,15.6218009479,1.0
IGH,G32425.GTEX-QV44-1026-SM-447CG.2,Esophagus - Muscularis,Esophagus,16.2727272727,1.0
IGH,G35606.GTEX-XBED-2626-SM-4E3J5.4,Muscle - Skeletal,Muscle,14.4,1.0
IGH,G25662.GTEX-WVLH-0011-R5A-SM-3MJFW.1,Brain - Caudate (basal ganglia),Brain,17.0,1.0
IGH,G29356.GTEX-NPJ8-2026-SM-3TW91.1,Esophagus - Muscularis,Esophagus,14.5,1.0
IGH,G64017.GTEX-146FH-2426.1,Colon - Sigmoid,Colon,14.6428571429,1.0
IGH,G21061.GTEX-T2IS-0011-R3A-SM-32QPB.1,Brain - Anterior cingulate cortex (BA24),Brain,nan,nan
IGH,G65145.GTEX-14C39-1626.2,Colon - Sigmoid,Colon,15.8072289157,1.0
IGH,G33980.GTEX-S341-1526-SM-4AD6K.3,Breast - Mammary Tissue,Breast,15.8210306407,1.0
IGH,G64119.GTEX-113JC-0008.1,Cells - Transformed fibroblasts,Skin,nan,nan
IGH,G40894.GTEX-WEY5-0626-SM-4LMIA.3,Ovary,Ovary,15.3461538462,1.0
IGH,G19411.GTEX-S7SE-0011-R2A-SM-2XCDC.1,Brain - Substantia nigra,Brain,nan,nan
IGH,G63153.GTEX-11P82-0726.2,Stomach,Stomach,13.8888888889,1.0
IGH,G47182.GTEX-YEC4-1526.1,Testis,Testis,15.6666666667,1.0
IGH,G18683.GTEX-RN64-0326-SM-2TC5J.2,Muscle - Skeletal,Muscle,12.0,1.0
IGH,G64274.GTEX-13RTJ-0726.1,Heart - Left Ventricle,Heart,14.0,1.0
IGH,G59810.GTEX-11NUK-0426.2,Nerve - Tibial,Nerve,13.875,1.0
IGH,G62020.GTEX-13CF2-0011-R3b.2,Brain - Anterior cingulate cortex (BA24),Brain,nan,nan
IGH,G41477.GTEX-WVLH-1426.2,Esophagus - Mucosa,Esophagus,15.8837209302,1.0
IGH,G65224.GTEX-14C39-2626.2,Artery - Tibial,Blood Vessel,17.1428571429,1.0
IGH,G32804.GTEX-X4XX-0011-R11A-SM-46MWQ.2,Brain - Cerebellar Hemisphere,Brain,18.5,1.0
IGH,G38942.GTEX-RWS6-0526-SM-4GIAJ.2,Artery - Aorta,Blood Vessel,14.4444444444,2.0
IGH,G32827.GTEX-X585-0011-R11B-SM-46MUZ.2,Brain - Cerebellar Hemisphere,Brain,14.0,1.0
IGH,G62580.GTEX-146FH-1126.2,Heart - Atrial Appendage,Heart,14.0,1.0
IGH,G33877.GTEX-PLZ6-0126-SM-48TC6.1,Spleen,Spleen,15.6789408357,1.0
IGH,G19388.GTEX-S4Q7-0326-SM-3K2B1.1,Thyroid,Thyroid,16.0287277702,1.0
IGH,G46837.GTEX-Y8LW-2026.1,Muscle - Skeletal,Muscle,15.6428571429,1.0
IGH,G34297.GTEX-XLM4-2026-SM-4AT4X.2,Heart - Atrial Appendage,Heart,14.2857142857,1.0
IGH,G61198.GTEX-YEC3-0226.3,Lung,Lung,15.9544937429,1.0
IGH,G25140.GTEX-WHSB-0326-SM-3LK6K.1,Lung,Lung,16.0460526316,1.0
IGH,G62018.GTEX-13FXS-0011-R5b.2,Brain - Caudate (basal ganglia),Brain,11.0,1.0
IGH,G59726.GTEX-11DXX-2426.2,Skin - Sun Exposed (Lower leg),Skin,16.0,1.0
IGH,G26804.GTEX-X4EP-0011-R1A-SM-3P624.2,Brain - Hippocampus,Brain,14.8518518519,1.0
IGH,G19400.GTEX-P44G-0526-SM-2XCD1.1,Muscle - Skeletal,Muscle,14.3333333333,1.0
IGH,G65218.GTEX-13PVR-0826.2,Artery - Aorta,Blood Vessel,15.8333333333,1.0
IGH,G35619.GTEX-ZPIC-0008.4,Cells - Transformed fibroblasts,Skin,18.5,1.0
IGH,G53105.GTEX-11GS4-3126.3,Brain - Cortex,Brain,15.0,1.0
IGH,G34526.GTEX-XUZC-0926-SM-4BOQF.8,Uterus,Uterus,15.1206896552,1.0
IGH,G32922.GTEX-RUSQ-0326-SM-47JWS.3,Artery - Aorta,Blood Vessel,16.5,1.0
IGH,G18598.GTEX-RNOR-0426-SM-2TF4U.1,Artery - Tibial,Blood Vessel,14.5,1.0
IGH,G48859.GTEX-ZDXO-0011-R2b.1,Brain - Substantia nigra,Brain,14.3333333333,1.0
IGH,G33791.GTEX-Q2AH-1126-SM-48TZM.2,Stomach,Stomach,15.8647503782,1.0
IGH,G59557.GTEX-11OF3-3026.2,Pituitary,Pituitary,15.3888888889,1.0
IGH,G32921.GTEX-RUSQ-0226-SM-47JWT.3,Adrenal Gland,Adrenal Gland,15.0,1.0
IGH,G64173.GTEX-145MO-2626.1,Colon - Sigmoid,Colon,10.0,1.0
IGH,G25158.GTEX-OHPM-1026-SM-3LK74.1,Pancreas,Pancreas,15.3333333333,1.0
IGH,G62759.GTEX-13PL6-0011-R6a.3,Brain - Nucleus accumbens (basal ganglia),Brain,nan,nan
IGH,G61867.GTEX-145MO-2826.2,Skin - Not Sun Exposed (Suprapubic),Skin,14.4444444444,1.0
IGH,G63062.GTEX-1399T-0426.2,Heart - Left Ventricle,Heart,13.0,1.0
IGH,G62225.GTEX-13X6H-1426.2,Esophagus - Muscularis,Esophagus,16.5,1.0
IGH,G65584.GTEX-11WQC-0008.3,Cells - Transformed fibroblasts,Skin,14.5,1.0
IGH,G45349.GTEX-XBEW-1826.2,Stomach,Stomach,15.5688073394,1.0
IGH,G41194.GTEX-WQUQ-1826.4,Esophagus - Gastroesophageal Junction,Esophagus,14.3333333333,1.0
IGH,G20910.GTEX-SUCS-0226-SM-32PLQ.2,Thyroid,Thyroid,nan,nan
IGH,G53056.GTEX-11DYG-1526.3,Skin - Not Sun Exposed (Suprapubic),Skin,14.5,1.0
IGH,G63174.GTEX-145MI-0011-R8b.2,Brain - Hypothalamus,Brain,12.0,1.0
IGH,G61953.GTEX-13113-1126.2,Adipose - Visceral (Omentum),Adipose Tissue,16.5348837209,1.0
IGH,G63134.GTEX-YEC3-1426-101806.2,Stomach,Stomach,15.7647058824,1.0
IGH,G61874.GTEX-148VJ-1026.2,Esophagus - Mucosa,Esophagus,16.2,1.0
IGH,G25142.GTEX-WL46-0011-R1A-SM-3LK6M.1,Brain - Hippocampus,Brain,nan,nan
IGH,G26688.GTEX-P4QS-0726-SM-3NMCZ.1,Esophagus - Muscularis,Esophagus,15.4444444444,1.0
IGH,G32392.GTEX-QLQW-1026-SM-447A9.2,Testis,Testis,17.2,1.0
IGH,G35597.GTEX-X5EB-1626-SM-4E3IV.4,Small Intestine - Terminal Ileum,Small Intestine,15.6510121457,1.0
IGH,G62422.GTEX-147F3-0005.2,Whole Blood,Blood,15.4864864865,1.0
IGH,G23466.GTEX-WFON-0226-SM-3GIKR.1,Heart - Atrial Appendage,Heart,15.5,1.0
IGH,G64356.GTEX-13PVR-2526.1,Muscle - Skeletal,Muscle,14.5,1.0
IGH,G25947.GTEX-WY7C-0426-SM-3NB3C.2,Lung,Lung,16.1557655955,1.0
IGH,G32989.GTEX-X88G-0426-SM-47JZ5.3,Artery - Tibial,Blood Vessel,15.7358490566,1.0
IGH,G42284.GTEX-X261-0008.3,Cells - Transformed fibroblasts,Skin,14.0,1.0
IGH,G63878.GTEX-1192W-2626.2,Skin - Sun Exposed (Lower leg),Skin,15.1666666667,1.0
IGH,G62084.GTEX-13N2G-0526.2,Artery - Aorta,Blood Vessel,16.1677419355,2.0
IGH,G63965.GTEX-11O72-0008.1,Cells - Transformed fibroblasts,Skin,nan,nan
IGH,G62879.GTEX-11ONC-2826.3,Pituitary,Pituitary,15.2,1.0
IGH,G25948.GTEX-WY7C-0526-SM-3NB3D.2,Heart - Left Ventricle,Heart,14.9285714286,1.0
IGH,G20860.GTEX-QDT8-3026-SM-32PKB.1,Brain - Cerebellum,Brain,17.0,1.0
IGH,G64163.GTEX-145LT-1926.1,Nerve - Tibial,Nerve,14.6,1.0
IGH,G23419.GTEX-R53T-2026-SM-3GIJF.1,Artery - Tibial,Blood Vessel,14.75,1.0
IGH,G62610.GTEX-146FR-2426.2,Vagina,Vagina,14.5925925926,1.0
IGH,G26558.GTEX-OXRL-2126-SM-3NM98.1,Testis,Testis,15.6666666667,1.5
IGH,G53106.GTEX-11ILO-0126.3,Skin - Sun Exposed (Lower leg),Skin,14.1538461538,1.0
IGH,G64426.GTEX-14BIM-3226.1,Pituitary,Pituitary,16.3888888889,1.0
IGH,G60662.GTEX-131XH-0011-R6a.2,Brain - Nucleus accumbens (basal ganglia),Brain,16.0,1.0
IGH,G62195.GTEX-145MN-2326.2,Artery - Tibial,Blood Vessel,14.5263157895,2.0
IGH,G46559.GTEX-Y114-2726.2,Artery - Tibial,Blood Vessel,16.6956521739,1.0
IGH,G33809.GTEX-Q734-0326-SM-48U15.3,Liver,Liver,15.2669039146,1.0
IGH,G53030.GTEX-11EQ9-0226.3,Lung,Lung,15.7911392405,1.0
IGH,G46748.GTEX-Y8LW-0005.1,Whole Blood,Blood,15.7868020305,1.0
IGH,G59962.GTEX-ZC5H-1326.2,Esophagus - Mucosa,Esophagus,15.1666666667,1.0
IGH,G32446.GTEX-QMRM-0008-SM-447B1.2,Cells - Transformed fibroblasts,Skin,18.3333333333,1.0
IGH,G34443.GTEX-XUJ4-0004-SM-4BOQE.7,Cells - EBV-transformed lymphocytes,Blood,16.12,3.0
IGH,G19385.GTEX-S4Q7-1526-SM-3K2AG.1,Muscle - Skeletal,Muscle,16.1555555556,1.0
IGH,G59747.GTEX-11DXY-1626.2,Adrenal Gland,Adrenal Gland,12.0,1.0
IGH,G47071.GTEX-Y5V6-2726.3,Nerve - Tibial,Nerve,16.3,1.0
IGH,G18588.GTEX-R55C-1926-SM-2TF4K.1,Nerve - Tibial,Nerve,16.5,2.5
IGH,G62233.GTEX-14BIL-0426.2,Nerve - Tibial,Nerve,14.5,1.0
IGH,G33816.GTEX-Q2AI-0226-SM-48U1D.3,Adrenal Gland,Adrenal Gland,17.3181818182,1.0
IGH,G64052.GTEX-14E6C-0326.1,Heart - Atrial Appendage,Heart,14.2,1.0
IGH,G62267.GTEX-ZYY3-2626.2,Vagina,Vagina,16.1612903226,1.0
IGH,G61816.GTEX-ZAB4-0826.2,Liver,Liver,16.1416309013,1.0
IGH,G34480.GTEX-XUW1-0226-SM-4BOOS.7,Uterus,Uterus,14.5,1.0
IGH,G65205.GTEX-14BMU-1926.2,Vagina,Vagina,15.7422680412,1.0
IGH,G25874.GTEX-OXRL-0226-SM-3NB18.2,Adipose - Subcutaneous,Adipose Tissue,15.25,1.0
IGH,G39645.GTEX-UJHI-1326-SM-4IHJO.2,Vagina,Vagina,15.5652173913,1.0
IGH,G35304.GTEX-U3ZN-0926-SM-4DXTU.7,Vagina,Vagina,16.2666666667,1.0
IGH,G46838.K-562.1,Cells - Leukemia cell line (CML),Bone Marrow,17.0,1.0
IGH,G32994.GTEX-XBED-0003-SM-47JWP.3,Cells - EBV-transformed lymphocytes,Blood,15.4666666667,3.0
IGH,G59113.GTEX-11ZTS-1226.6,Lung,Lung,15.71996686,1.0
IGH,G25150.GTEX-WL46-0011-R5A-SM-3LK6V.1,Brain - Caudate (basal ganglia),Brain,14.0,2.0
IGH,G34486.GTEX-XUW1-0726-SM-4BOP5.7,Artery - Tibial,Blood Vessel,18.0,1.0
IGH,G34014.GTEX-S4P3-0726-SM-4AD57.3,Stomach,Stomach,15.3333333333,1.0
IGH,G63093.GTEX-13QJC-0011-R2b.2,Brain - Substantia nigra,Brain,13.5,1.0
IGH,G63128.GTEX-12KS4-0626.2,Artery - Aorta,Blood Vessel,14.0,1.0
IGH,G33895.GTEX-PWOO-1226-SM-48TCO.1,Stomach,Stomach,15.5732113145,1.0
IGH,G59348.GTEX-12WSJ-1526.2,Colon - Transverse,Colon,14.95,1.0
IGH,G34516.GTEX-XQ8I-1126-SM-4BOO2.8,Lung,Lung,15.8806818182,1.0
IGH,G29341.GTEX-WOFL-0006-SM-3TW8K.1,Whole Blood,Blood,15.2989099254,1.0
IGH,G35205.GTEX-T6MN-1526-SM-4DM5P.1,Esophagus - Muscularis,Esophagus,17.0,1.0
IGH,G35303.GTEX-U3ZN-0826-SM-4DXSZ.7,Adrenal Gland,Adrenal Gland,15.16,1.0
IGH,G33965.GTEX-S32W-1226-SM-4AD67.3,Ovary,Ovary,16.3333333333,1.0
IGH,G32953.GTEX-X638-0005-SM-47JX6.3,Whole Blood,Blood,15.4841402337,1.0
IGH,G63919.GTEX-13YAN-2126.2,Pancreas,Pancreas,12.5,1.0
IGH,G34294.GTEX-XGQ4-2426-SM-4AT55.2,Artery - Tibial,Blood Vessel,16.3333333333,1.0
IGH,G40982.GTEX-WFG8-0826.4,Artery - Aorta,Blood Vessel,15.640625,2.0
IGH,G20870.GTEX-QMR6-0011-R7A-SM-32PKL.1,Brain - Putamen (basal ganglia),Brain,nan,nan
IGH,G18481.GTEX-POMQ-2326-SM-2S1O8.1,Adipose - Subcutaneous,Adipose Tissue,15.6,1.0
IGH,G62838.GTEX-ZLFU-0926.3,Kidney - Cortex,Kidney,15.929197995,1.0
IGH,G64028.GTEX-146FR-0226.1,Adipose - Visceral (Omentum),Adipose Tissue,15.1981132075,1.0
IGH,G48916.GTEX-ZDTS-1226.1,Heart - Atrial Appendage,Heart,15.8571428571,1.0
IGH,G48900.GTEX-ZDYS-0726.1,Esophagus - Gastroesophageal Junction,Esophagus,13.875,1.0
IGH,G58550.GTEX-132Q8-0011-R2b.2,Brain - Substantia nigra,Brain,15.0,1.0
IGH,G64026.GTEX-145ME-1726.1,Skin - Not Sun Exposed (Suprapubic),Skin,13.6666666667,1.0
IGH,G26759.GTEX-PLZ6-1226-SM-3P5ZS.2,Testis,Testis,15.9595959596,1.0
IGH,G26605.GTEX-RWS6-0001-SM-3NMAL.1,Cells - EBV-transformed lymphocytes,Blood,18.9473684211,1.0
IGH,G25677.GTEX-O5YT-2126-SM-3MJGD.1,Testis,Testis,nan,nan
IGH,G63148.GTEX-11LCK-0826.2,Heart - Atrial Appendage,Heart,15.1666666667,1.0
IGH,G62594.GTEX-146FQ-0426.2,Nerve - Tibial,Nerve,15.2272727273,1.0
IGH,G53812.GTEX-1212Z-0011-R1b.2,Brain - Hippocampus,Brain,11.3333333333,1.0
IGH,G18423.GTEX-QVJO-0011-R7A-SM-2S1QO.1,Brain - Putamen (basal ganglia),Brain,nan,nan
IGH,G62112.GTEX-13NYB-0011-R6b.2,Brain - Nucleus accumbens (basal ganglia),Brain,16.5,1.0
IGH,G35163.GTEX-SNMC-0426-SM-4DM5Y.1,Esophagus - Muscularis,Esophagus,12.5,1.0
IGH,G26782.GTEX-POMQ-0826-SM-3P61H.2,Stomach,Stomach,15.1569829833,1.0
IGH,G63996.GTEX-145MO-1326.1,Lung,Lung,16.4191176471,1.0
IGH,G25166.GTEX-WHSB-0005-SM-3LK7C.1,Whole Blood,Blood,15.8128342246,1.0
IGH,G40881.GTEX-QDT8-0526-SM-4LMJR.3,Muscle - Skeletal,Muscle,16.0,1.0
IGH,G26665.GTEX-UTHO-0006-SM-3NMCC.1,Whole Blood,Blood,15.8692134831,1.0
IGH,G35328.GTEX-U412-1826.8,Breast - Mammary Tissue,Breast,15.6923076923,1.0
IGH,G60181.GTEX-139YR-1626.2,Esophagus - Muscularis,Esophagus,15.5384615385,1.0
IGH,G35202.GTEX-T5JC-1526-SM-4DM68.2,Kidney - Cortex,Kidney,16.6666666667,1.0
IGH,G22917.GTEX-TSE9-0226-SM-3DB84.1,Adipose - Subcutaneous,Adipose Tissue,15.7333333333,1.0
IGH,G62016.GTEX-13FHP-0011-R11b.2,Brain - Cerebellar Hemisphere,Brain,18.0,1.0
IGH,G59533.GTEX-11TT1-2326.2,Muscle - Skeletal,Muscle,18.6,1.0
IGH,G61939.GTEX-12WSM-0326.2,Muscle - Skeletal,Muscle,12.5,1.0
IGH,G63992.GTEX-13YAN-2026.1,Esophagus - Muscularis,Esophagus,17.0,1.0
IGH,G25915.GTEX-OXRK-0526-SM-3NB2F.2,Artery - Tibial,Blood Vessel,17.0,1.0
IGH,G47167.GTEX-YEC4-0526.1,Lung,Lung,15.9638554217,1.0
IGH,G34409.GTEX-XPVG-1026-SM-4B64Y.3,Lung,Lung,15.832122093,1.0
IGH,G61215.GTEX-YJ8O-2726.3,Artery - Tibial,Blood Vessel,15.4736842105,1.0
IGH,G60304.GTEX-139YR-2426.2,Adipose - Subcutaneous,Adipose Tissue,14.4615384615,1.0
IGH,G65559.GTEX-QDVN-2126.3,Adipose - Subcutaneous,Adipose Tissue,15.6428571429,1.0
IGH,G62932.GTEX-1128S-0005.3,Whole Blood,Blood,15.4004504505,1.0
IGH,G23365.GTEX-QV31-0726-SM-3GAEG.1,Thyroid,Thyroid,17.75,1.0
IGH,G65570.GTEX-RVPU-0011-R8A.3,Brain - Hypothalamus,Brain,13.6666666667,1.0
IGH,G65553.GTEX-Q2AG-0005.3,Whole Blood,Blood,15.3177083333,1.0
IGH,G34374.GTEX-XOT4-1126-SM-4B66E.3,Heart - Atrial Appendage,Heart,16.5,1.0
IGH,G63027.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,nan,nan
IGH,G64186.GTEX-146FH-0326.1,Nerve - Tibial,Nerve,15.3529411765,1.0
IGH,G62877.GTEX-11TT1-1126.3,Thyroid,Thyroid,17.0,1.0
IGH,G33769.GTEX-QEG4-0008-SM-48TYZ.3,Cells - Transformed fibroblasts,Skin,15.8571428571,1.0
IGH,G62214.GTEX-1477Z-1526.2,Nerve - Tibial,Nerve,16.4375,1.0
IGH,G19483.GTEX-SNMC-0006-SM-2XCFE.2,Whole Blood,Blood,16.25,3.0
IGH,G47077.GTEX-Y9LG-2226.3,Nerve - Tibial,Nerve,14.6,1.0
IGH,G34399.GTEX-XOTO-2926-SM-4B65G.3,Brain - Cerebellum,Brain,14.6666666667,1.0
IGH,G33778.GTEX-QDVN-0226-SM-48TZ9.3,Artery - Aorta,Blood Vessel,15.2352941176,1.0
IGH,G34389.GTEX-XOT4-0008-SM-4B664.3,Cells - Transformed fibroblasts,Skin,16.3333333333,1.0
IGH,G65650.GTEX-11ZTT-0008.2,Cells - Transformed fibroblasts,Skin,nan,nan
IGH,G35181.GTEX-SNOS-0726-SM-4DM5Z.1,Esophagus - Muscularis,Esophagus,15.2826086957,1.0
IGH,G18689.GTEX-RN64-0526-SM-2TC5P.2,Artery - Tibial,Blood Vessel,13.625,1.0
IGH,G32986.GTEX-XUYS-0005-SM-47JZ2.3,Whole Blood,Blood,15.5850746269,1.0
IGH,G65708.GTEX-14753-0011-R5a.2,Brain - Caudate (basal ganglia),Brain,nan,nan
IGH,G41175.GTEX-WHWD-1026.5,Esophagus - Muscularis,Esophagus,16.25,1.0
IGH,G62174.GTEX-ZYWO-1126.2,Esophagus - Gastroesophageal Junction,Esophagus,11.5,1.0
IGH,G18609.GTEX-RNOR-0926-SM-2TF56.1,Thyroid,Thyroid,15.6206896552,1.0
IGH,G48871.GTEX-ZDXO-0426.1,Heart - Atrial Appendage,Heart,15.75,1.0
IGH,G18424.GTEX-QLQ7-0005-SM-2S1QP.1,Whole Blood,Blood,15.8620689655,1.0
IGH,G34302.GTEX-XLM4-2926-SM-4AT59.2,Brain - Cerebellum,Brain,16.0,1.0
IGH,G62280.GTEX-ZZPU-1226.2,Adrenal Gland,Adrenal Gland,15.44,1.0
IGH,G35630.GTEX-OHPM-0008-SM-4E3IP.4,Cells - Transformed fibroblasts,Skin,17.0,1.0
IGH,G63199.GTEX-13X6K-0011-R8b.2,Brain - Hypothalamus,Brain,17.6666666667,1.0
IGH,G25720.GTEX-NPJ8-2426-SM-3MJHL.1,Prostate,Prostate,16.1818181818,1.0
IGH,G53060.GTEX-11EMC-2226.3,Esophagus - Mucosa,Esophagus,15.3333333333,1.0
IGH,G62717.GTEX-145MF-1426.2,Esophagus - Mucosa,Esophagus,15.8869752422,1.0
IGH,G42482.GTEX-QLQ7-0126.3,Adrenal Gland,Adrenal Gland,14.6842105263,1.0
IGH,G19391.GTEX-S4P3-1526-SM-3K2AV.1,Adipose - Subcutaneous,Adipose Tissue,14.8333333333,1.0
IGH,G33796.GTEX-PX3G-3026-SM-48TZR.3,Artery - Coronary,Blood Vessel,15.1418918919,1.0
IGH,G34331.GTEX-XMD1-0011-R6A-SM-4AT5K.2,Brain - Nucleus accumbens (basal ganglia),Brain,17.0,1.5
IGH,G34395.GTEX-XOTO-2126-SM-4B64U.3,Esophagus - Mucosa,Esophagus,15.4237288136,1.0
IGH,G41008.GTEX-WH7G-0926-SM-4LVMJ.3,Esophagus - Mucosa,Esophagus,15.1610845295,1.0
IGH,G63902.GTEX-11O72-0526.2,Nerve - Tibial,Nerve,15.7962962963,2.0
IGH,G35292.GTEX-U3ZH-1926-SM-4DXTR.7,Muscle - Skeletal,Muscle,14.875,1.0
IGH,G32980.GTEX-XBED-2226-SM-47JYQ.3,Skin - Sun Exposed (Lower leg),Skin,15.6597938144,1.0
IGH,G16795.GTEX-QESD-0626.3,Lung,Lung,15.4545454545,1.0
IGH,G32765.GTEX-X4XX-0926-SM-46MV7.2,Thyroid,Thyroid,15.8461538462,1.0
IGH,G53079.GTEX-11NUK-0226.3,Muscle - Skeletal,Muscle,19.5,1.0
IGH,G33643.GTEX-REY6-1426-SM-48FDK.4,Esophagus - Muscularis,Esophagus,14.0,1.0
IGH,G35346.GTEX-TKQ1-0008-SM-4DXSO.8,Cells - Transformed fibroblasts,Skin,15.3333333333,1.0
IGH,G53784.GTEX-U412-0326.2,Muscle - Skeletal,Muscle,15.5,1.0
IGH,G41074.GTEX-VJWN-1026.3,Heart - Atrial Appendage,Heart,15.8928571429,1.0
IGH,G62262.GTEX-11VI4-0006.2,Whole Blood,Blood,15.3585858586,1.0
IGH,G35174.GTEX-T2IS-0126-SM-4DM6O.1,Skin - Sun Exposed (Lower leg),Skin,17.0,1.0
IGH,G46566.GTEX-Y3I4-1326.2,Small Intestine - Terminal Ileum,Small Intestine,16.2888888889,1.0
IGH,G64280.GTEX-13QJ3-1026.1,Lung,Lung,15.6769230769,1.0
IGH,G35167.GTEX-SNMC-0626-SM-4DM6H.1,Stomach,Stomach,15.0081081081,1.0
IGH,G19387.GTEX-S4Q7-0426-SM-3K2BJ.1,Lung,Lung,15.1658031088,1.0
IGH,G62744.GTEX-11ONC-0005.3,Whole Blood,Blood,15.2789699571,1.0
IGH,G23471.GTEX-WFJO-0226-SM-3GIKW.1,Thyroid,Thyroid,15.6666666667,1.0
IGH,G35561.GTEX-XYKS-2926-SM-4E3IA.4,Minor Salivary Gland,Salivary Gland,16.3076923077,1.0
IGH,G58388.GTEX-12696-1426.2,Esophagus - Muscularis,Esophagus,15.375,1.0
IGH,G41186.GTEX-WK11-1026.5,Esophagus - Mucosa,Esophagus,15.1428571429,1.0
IGH,G33630.GTEX-RN64-1626-SM-48FD7.5,Kidney - Cortex,Kidney,15.1428571429,1.0
IGH,G64420.GTEX-14BMV-2326.1,Prostate,Prostate,16.0,1.0
IGH,G26731.GTEX-WHSE-0011-R7A-SM-3P5YZ.2,Brain - Putamen (basal ganglia),Brain,14.0,1.0
IGH,G62612.GTEX-147F3-0226.2,Muscle - Skeletal,Muscle,15.0,1.0
IGH,G59731.GTEX-117XS-0426.2,Artery - Aorta,Blood Vessel,15.8,1.0
IGH,G33676.GTEX-R55D-1526-SM-48FEJ.4,Stomach,Stomach,14.875,1.0
IGH,G18590.GTEX-REY6-0726-SM-2TF4M.1,Artery - Tibial,Blood Vessel,nan,nan
IGH,G65604.GTEX-148VI-1626.3,Skin - Sun Exposed (Lower leg),Skin,20.0,2.0
IGH,G62103.GTEX-13O21-1826.2,Nerve - Tibial,Nerve,15.25,1.0
IGH,G32964.GTEX-XAJ8-0626-SM-47JY4.3,Prostate,Prostate,16.3157894737,1.0
IGH,G25121.GTEX-OHPM-0226-SM-3LK61.1,Adipose - Subcutaneous,Adipose Tissue,17.5,1.0
IGH,G63024.GTEX-13RTL-0011-R3a.3,Brain - Anterior cingulate cortex (BA24),Brain,17.3333333333,1.0
